category_id,category_name
1,Academic
2,Add A Comment
3,Adult Fiction
4,Travel
5,Mystery
6,Historical Fiction
7,Sequential Art
8,Classics
9,Philosophy
10,Romance
11,Womens Fiction
12,Fiction
13,Childrens
14,Religion
15,Nonfiction
16,Music
17,Default
18,Science Fiction
19,Sports And Games
20,Fantasy
21,New Adult
22,Young Adult
23,Science
24,Poetry
25,Paranormal
26,Art
27,Psychology
28,Autobiography
29,Parenting
30,Humor
31,Horror
32,History
33,Food And Drink
34,Christian Fiction
35,Business
36,Biography
37,Thriller
38,Contemporary
39,Spirituality
40,Self Help
41,Historical
42,Christian
43,Suspense
44,Short Stories
45,Novels
46,Health
47,Politics
48,Cultural
49,Erotica
50,Crime
